"Date","Site.Name","COUNTY","meanLat","meanLong","month","year","PM2.5","Ozone"
2020-01-01,"Bryson City","Swain",35.434767,-83.442133,1,2020,35,NA
2020-01-01,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,13,NA
2020-01-01,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,24,NA
2020-01-01,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,31,NA
2020-01-01,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,NA,47
2020-01-01,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,20,28
2020-01-01,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,22,NA
2020-01-01,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,14,NA
2020-01-01,"Millbrook School","Wake",35.856111,-78.574167,1,2020,28,32.5
2020-01-01,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,15,NA
2020-01-01,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,24,26
2020-01-02,"Bryson City","Swain",35.434767,-83.442133,1,2020,51,NA
2020-01-02,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,15,NA
2020-01-02,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,40,NA
2020-01-02,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,37,NA
2020-01-02,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,7,44
2020-01-02,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,38,25
2020-01-02,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,25.5,NA
2020-01-02,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,20,NA
2020-01-02,"Linville Falls","Avery",35.972347,-81.933072,1,2020,12,NA
2020-01-02,"Millbrook School","Wake",35.856111,-78.574167,1,2020,38.5,28
2020-01-02,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,28,NA
2020-01-02,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,35,25
2020-01-03,"Bryson City","Swain",35.434767,-83.442133,1,2020,44,NA
2020-01-03,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,18,NA
2020-01-03,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,68,NA
2020-01-03,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,58,NA
2020-01-03,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,NA,36
2020-01-03,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,59,16.5
2020-01-03,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,55,NA
2020-01-03,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,23,NA
2020-01-03,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,60,NA
2020-01-03,"Millbrook School","Wake",35.856111,-78.574167,1,2020,61,22
2020-01-03,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,34,NA
2020-01-03,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,47,18
2020-01-04,"Bryson City","Swain",35.434767,-83.442133,1,2020,28,NA
2020-01-04,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,19,NA
2020-01-04,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,42,NA
2020-01-04,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,40,NA
2020-01-04,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,NA,34
2020-01-04,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,39,26
2020-01-04,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,35,NA
2020-01-04,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,23,NA
2020-01-04,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,25,NA
2020-01-04,"Millbrook School","Wake",35.856111,-78.574167,1,2020,39,28
2020-01-04,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,25,NA
2020-01-04,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,30,23
2020-01-05,"Bryson City","Swain",35.434767,-83.442133,1,2020,30,NA
2020-01-05,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,15,NA
2020-01-05,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,37,NA
2020-01-05,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,32.5,NA
2020-01-05,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,13,39
2020-01-05,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,32,30.5
2020-01-05,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,27,NA
2020-01-05,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,9,NA
2020-01-05,"Linville Falls","Avery",35.972347,-81.933072,1,2020,15,NA
2020-01-05,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,23,NA
2020-01-05,"Millbrook School","Wake",35.856111,-78.574167,1,2020,32,34.5
2020-01-05,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,21,NA
2020-01-05,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,32,34
2020-01-06,"Bryson City","Swain",35.434767,-83.442133,1,2020,35,NA
2020-01-06,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,21,NA
2020-01-06,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,35,NA
2020-01-06,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,32,NA
2020-01-06,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,NA,40
2020-01-06,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,40,30.5
2020-01-06,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,22,NA
2020-01-06,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,8,NA
2020-01-06,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,23,NA
2020-01-06,"Millbrook School","Wake",35.856111,-78.574167,1,2020,33,32
2020-01-06,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,17,NA
2020-01-06,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,29,33
2020-01-07,"Bryson City","Swain",35.434767,-83.442133,1,2020,54,NA
2020-01-07,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,9,NA
2020-01-07,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,49,NA
2020-01-07,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,39,NA
2020-01-07,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,NA,37
2020-01-07,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,47,29
2020-01-07,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,28,NA
2020-01-07,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,15,NA
2020-01-07,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,38,NA
2020-01-07,"Millbrook School","Wake",35.856111,-78.574167,1,2020,48,31.5
2020-01-07,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,18,NA
2020-01-07,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,27,30
2020-01-08,"Bryson City","Swain",35.434767,-83.442133,1,2020,71,NA
2020-01-08,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,11,NA
2020-01-08,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,52,NA
2020-01-08,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,34.5,NA
2020-01-08,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,3,42
2020-01-08,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,53,24
2020-01-08,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,40,NA
2020-01-08,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,40,NA
2020-01-08,"Linville Falls","Avery",35.972347,-81.933072,1,2020,22,NA
2020-01-08,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,44,NA
2020-01-08,"Millbrook School","Wake",35.856111,-78.574167,1,2020,42.5,30
2020-01-08,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,31,NA
2020-01-08,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,38,38
2020-01-09,"Bryson City","Swain",35.434767,-83.442133,1,2020,78,NA
